representation,nodes,edges,degree_2,endpoints,junctions,high_degree,components,cycle_rank,branches,physical_length_mm,dense_length_mm,relative_length_error,nodes_per_dense_mm,junctions_per_dense_mm,length_weighted_absolute_branch_length_error_fraction,length_weighted_tortuosity_error,closed_or_degenerate_branches,junction_angle_mae_deg,curve_acd_mm,curve_hd95_mm,curve_precision_0.5mm,curve_recall_0.5mm,curve_f1_0.5mm,curve_precision_1mm,curve_recall_1mm,curve_f1_1mm,curve_precision_2mm,curve_recall_2mm,curve_f1_2mm,dataset,modality,site,stratum,subject,split,spacing_x_mm,spacing_y_mm,spacing_z_mm
junction_only,130,146,0,54,76,10,6,22,146,1525.360362691834,2432.8482355580636,-0.3730145841415643,0.05343531014386506,0.03123910439179803,0.3730145841415641,0.8408783851464512,1,25.500874374261848,4.026006391428167,17.58288259322208,0.2635830825281166,0.17517587939698492,0.2104727300540606,0.42784729922382386,0.3071356783919598,0.3575788133802761,0.6033581498495169,0.4542713567839196,0.5183068808873006,topbrain,ct,CT,TopBrain-CT,topcow_ct_005,train,0.3984375,0.3984375,0.75
adaptive,461,477,331,54,76,10,6,22,146,2016.390256100882,2432.8482355580636,-0.17118124072447602,0.1894898305870907,0.03123910439179803,0.17118124072447596,0.31732645699390705,1,18.87787503538447,0.3633213707423406,0.8911826225857645,0.7861885790172642,0.7309547738693467,0.7575662430327733,0.9797174936617168,0.9682412060301507,0.9739455438987586,1.0,1.0,1.0,topbrain,ct,CT,TopBrain-CT,topcow_ct_005,train,0.3984375,0.3984375,0.75
dense,3860,3876,3730,54,76,10,6,22,146,2432.8482355580636,2432.8482355580636,0.0,1.5866176704255317,0.03123910439179803,0.0,0.0,1,0.0,4.0680519984712845e-15,1.1770982220319776e-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,topbrain,ct,CT,TopBrain-CT,topcow_ct_005,train,0.3984375,0.3984375,0.75
