subject,site,spacing_x_mm,crop_voxels,representation,beta_0,beta_1,degree_2,edges,loop_edges,nodes
IXI002-Guys-0828,Guys,0.46874999999999994,90x90x36,adaptive,5,37,43,173,106,141
IXI002-Guys-0828,Guys,0.46874999999999994,90x90x36,dense,5,37,826,956,459,924
IXI002-Guys-0828,Guys,0.46874999999999994,90x90x36,junction_only,5,37,0,130,86,98
IXI290-IOP-0874,IOP,0.26366915429736276,160x160x36,adaptive,24,44,138,334,188,314
IXI290-IOP-0874,IOP,0.26366915429736276,160x160x36,dense,24,44,1965,2161,1093,2141
IXI290-IOP-0874,IOP,0.26366915429736276,160x160x36,junction_only,24,44,0,196,127,176
IXI609-HH-2600,HH,0.46874998449945077,90x90x36,adaptive,3,24,42,131,88,110
IXI609-HH-2600,HH,0.46874998449945077,90x90x36,dense,3,24,739,828,485,807
IXI609-HH-2600,HH,0.46874998449945077,90x90x36,junction_only,3,24,0,89,61,68
