representation,nodes,edges,degree_2,endpoints,junctions,high_degree,components,cycle_rank,branches,physical_length_mm,dense_length_mm,relative_length_error,nodes_per_dense_mm,junctions_per_dense_mm,length_weighted_absolute_branch_length_error_fraction,length_weighted_tortuosity_error,closed_or_degenerate_branches,junction_angle_mae_deg,curve_acd_mm,curve_hd95_mm,curve_precision_0.5mm,curve_recall_0.5mm,curve_f1_0.5mm,curve_precision_1mm,curve_recall_1mm,curve_f1_1mm,curve_precision_2mm,curve_recall_2mm,curve_f1_2mm,dataset,modality,site,stratum,subject,split,spacing_x_mm,spacing_y_mm,spacing_z_mm
junction_only,279,363,0,70,209,28,1,85,363,2974.2521600880928,4978.105148950628,-0.4025332790097739,0.056045421229965885,0.04198384601097803,0.40253327900977304,1.2327323801657577,1,25.822679370663256,2.997820830426157,12.415271627379601,0.2953997104712884,0.18896059450474234,0.23048505145336257,0.44024449091201545,0.2997946611909651,0.35669179831661235,0.6261862634711276,0.447834164466608,0.5222016170409692,ixi,mra,HH,IXI-HH,IXI013-HH-1212-MRA_IXI-HH,train,0.46874998,0.46874999,0.79999996
adaptive,1220,1304,941,70,209,28,1,85,363,4214.086264241609,4978.105148950628,-0.15347584308661552,0.24507316810235977,0.04198384601097803,0.15347584308661502,0.35411344819809887,1,19.442145709473394,0.2967464725785879,0.6473423129911775,0.8980858768753234,0.8478537205436589,0.8722471879349092,0.9978157153532218,0.9956976630487924,0.996755564015289,1.0,1.0,1.0,ixi,mra,HH,IXI-HH,IXI013-HH-1212-MRA_IXI-HH,train,0.46874998,0.46874999,0.79999996
dense,6797,6881,6518,70,209,28,1,85,363,4978.105148950628,4978.105148950628,0.0,1.3653789537637209,0.04198384601097803,0.0,0.0,1,0.0,2.0240535611328263e-15,4.430366114495054e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ixi,mra,HH,IXI-HH,IXI013-HH-1212-MRA_IXI-HH,train,0.46874998,0.46874999,0.79999996
