policy,topology_preserved,full_degree_2_total,degree_2_reduction_vs_dense,nodes_count,nodes_mean,nodes_median,nodes_p95,nodes_p99,nodes_max,nodes_over_70,nodes_over_120,nodes_fraction_over_70,nodes_fraction_over_120,edges_count,edges_mean,edges_median,edges_p95,edges_p99,edges_max,edges_over_70,edges_over_120,edges_fraction_over_70,edges_fraction_over_120
fixed_2p5v_c099,14/14,10690,0.8514080787300882,2326,29.95743766122098,17.0,104.0,147.5,196,278,68,0.11951848667239896,0.029234737747205503,2326,28.088564058469476,15.0,104.0,155.0,206,262,78,0.11263972484952708,0.03353396388650043
fixed_2v_c100,14/14,10868,0.848933863389953,2326,30.241616509028376,17.0,104.0,147.75,196,281,69,0.12080825451418745,0.029664660361134996,2326,28.37274290627687,15.0,105.0,156.0,206,264,79,0.11349957007738606,0.033963886500429925
fixed_3v_c098,14/14,10497,0.8540907953629313,2326,29.62811693895099,17.0,103.75,146.75,197,273,67,0.1173688736027515,0.02880481513327601,2326,27.755803955288048,14.0,103.0,154.25,207,257,76,0.11049011177987962,0.03267411865864144
fixed_3v_c099,14/14,10619,0.8523949848489061,2326,29.83276010318143,17.0,104.0,147.5,197,275,67,0.1182287188306105,0.02880481513327601,2326,27.960447119518488,14.5,104.0,154.5,207,263,77,0.11306964746345657,0.03310404127257094
fixed_4v_c098,14/14,10415,0.855230602429735,2326,29.496990541702495,17.0,103.0,146.0,197,270,66,0.11607910576096303,0.028374892519346516,2326,27.624677558039554,14.0,103.75,154.5,207,257,77,0.11049011177987962,0.03310404127257094
radius_0p25x_c099,14/14,18711,0.7399154874760223,2326,43.75924333619948,25.0,149.75,222.75,284,487,195,0.20937231298366293,0.08383490971625107,2326,41.890369733447976,23.0,148.0,224.75,301,458,192,0.19690455717970765,0.0825451418744626
radius_0p5x_c099,14/14,13793,0.8082761113118901,2326,35.33319002579535,20.0,121.0,174.75,230,355,120,0.15262252794496992,0.051590713671539126,2326,33.464316423043854,18.0,121.0,181.5,240,337,120,0.14488392089423904,0.051590713671539126
radius_0p75x_c098,14/14,11854,0.8352283784159462,2326,32.00601891659501,18.0,112.0,161.0,207,302,89,0.1298366294067068,0.03826311263972485,2326,30.137145313843508,16.0,111.0,166.0,218,294,91,0.12639724849527084,0.03912295786758384
