policy,topology_preserved,full_degree_2_total,degree_2_reduction_vs_dense,nodes_count,nodes_mean,nodes_median,nodes_p95,nodes_p99,nodes_max,nodes_over_70,nodes_over_120,nodes_fraction_over_70,nodes_fraction_over_120,edges_count,edges_mean,edges_median,edges_p95,edges_p99,edges_max,edges_over_70,edges_over_120,edges_fraction_over_70,edges_fraction_over_120
fixed_4v_c095,14/14,9556,0.867170776458814,2326,28.079965606190886,16.0,99.0,140.0,187,245,57,0.10533104041272572,0.024505588993981083,2326,26.207652622527945,13.0,97.75,146.75,197,227,62,0.09759243336199484,0.026655202063628546
fixed_5v_c095,14/14,9512,0.8677823802507576,2326,28.01676698194325,16.0,99.75,139.75,187,241,57,0.10361134995700774,0.024505588993981083,2326,26.142734307824593,13.0,97.75,146.75,197,223,62,0.09587274290627687,0.026655202063628546
fixed_6v_c095,14/14,9486,0.8681437824914514,2326,27.977214101461737,16.0,99.0,139.0,187,244,56,0.10490111779879621,0.02407566638005159,2326,26.10232158211522,13.0,98.5,146.75,197,224,62,0.09630266552020636,0.026655202063628546
radius_1p5x_c095,14/14,9682,0.8654193656000667,2326,28.264832330180568,16.0,100.5,142.75,186,252,57,0.10834049871023216,0.024505588993981083,2326,26.39595872742906,13.0,100.0,149.0,196,230,66,0.09888220120378331,0.028374892519346516
radius_1x_c095,14/14,10316,0.856606710961608,2326,29.405846947549442,17.0,103.0,149.75,190,272,64,0.11693895098882201,0.027515047291487533,2326,27.536973344797936,14.0,102.75,153.75,206,253,74,0.10877042132416165,0.03181427343078246
radius_2x_c095,14/14,9548,0.8672819771482583,2326,28.045141874462598,16.0,99.0,140.75,186,249,59,0.10705073086844367,0.02536543422184007,2326,26.17626827171109,13.0,98.0,147.5,196,232,63,0.0997420464316423,0.02708512467755804
