label,stratum,patches,mean_patch_nodes,p95_patch_nodes,p99_patch_nodes,maximum_patch_nodes,patches_over_70,patches_over_120
greedy RDP 1.5×,ixi/mra,646,56.17956656346749,137.75,166.0999999999999,186,227,57
greedy RDP 1.5×,topbrain/ct,674,19.61127596439169,63.0,86.26999999999998,114,21,0
greedy RDP 1.5×,topbrain/mr,1006,16.13717693836978,45.0,62.0,111,4,0
optimal 0.75×,ixi/mra,646,52.628482972136226,130.0,163.29999999999973,182,200,45
optimal 0.75×,topbrain/ct,674,18.811572700296736,61.35000000000002,79.26999999999998,107,14,0
optimal 0.75×,topbrain/mr,1006,16.095427435387673,46.0,62.950000000000045,115,7,0
