queries,step,batch_size,data_wait_seconds,train_step_seconds,samples_per_second,maximum_target_nodes,mean_target_nodes,maximum_target_edges,loss_total
256,1,8,0.0002261199988424778,0.3119288290035911,25.646876005513104,116,59.625,125,9.888440132141113
256,2,8,0.00019385298946872354,0.11162845400394872,71.66631546932479,127,62.25,138,10.295839309692383
256,3,8,0.00023369700647890568,0.08992914797272533,88.9589213324508,75,35.75,71,9.368108749389648
256,4,8,0.00022016698494553566,0.09813718200894073,81.51854206768608,100,47.375,100,9.582368850708008
256,5,8,0.0002059310209006071,0.11247403401648626,71.12752796638709,112,63.5,124,9.712079048156738
256,6,8,0.00023836601758375764,0.10436079901410267,76.65713635365067,75,47.375,74,8.633523941040039
256,7,8,0.00021163502242416143,0.08462375303497538,94.5361049715387,81,39.25,81,9.205862998962402
256,8,8,0.00019545899704098701,0.09151733800536022,87.4151300110088,141,62.875,133,9.083344459533691
256,9,8,0.00018986704526469111,0.09302026202203706,86.00276784970518,147,31.625,170,9.433935165405273
256,10,8,0.00017767399549484253,0.10334368597250432,77.41159921592583,153,69.25,173,9.29198169708252
256,11,8,0.00018178997561335564,0.08576626796275377,93.27676474711721,114,70.625,112,8.78402328491211
256,12,8,0.037105471012182534,0.08161384001141414,98.02259027244835,113,48.875,117,8.654977798461914
256,13,8,0.0289795360295102,0.09267813200131059,86.32025513728384,119,52.625,114,8.79826831817627
256,14,8,0.039194218988996,0.08758593996753916,91.33886104282189,137,51.375,144,8.71750259399414
256,15,8,0.01827739703003317,0.09388452797429636,85.21105844181518,110,45.5,101,8.704998970031738
256,16,8,0.010880281974095851,0.08774390403414145,91.17442502771672,149,62.375,175,9.142072677612305
256,17,8,0.052667457959614694,0.08835092600202188,90.54800398828783,119,62.25,127,8.36299991607666
256,18,8,0.0001739110448397696,0.10139046597760171,78.90288226673394,135,56.25,139,9.242196083068848
256,19,8,0.04176541295601055,0.115316757990513,69.37413208111654,121,67.625,130,8.56158447265625
256,20,8,0.00017544999718666077,0.10496267798589543,76.21756755363099,115,66.25,114,8.435779571533203
256,21,8,0.025643884029705077,0.25887850002618507,30.9025276304939,96,47.0,94,8.220213890075684
256,22,8,0.00017087499145418406,0.09972132102120668,80.22356621507977,128,49.5,121,9.172119140625
256,23,8,0.00016603199765086174,0.07831641600932926,102.14972042447677,101,52.25,108,8.577719688415527
256,24,8,0.0001574679627083242,0.08502484002383426,94.09015056961508,134,64.0,158,8.27884578704834
256,25,8,0.0001703849993646145,0.08712684700731188,91.82014814938296,132,52.875,133,8.770837783813477
256,26,8,0.000165453995577991,0.072918453020975,109.71159793665397,86,45.875,90,8.339186668395996
256,27,8,0.06713582598604262,0.07382757304003462,108.36059849430272,83,31.0,80,8.77658748626709
256,28,8,0.0001490549766458571,0.08413547300733626,95.08474504329979,111,70.125,124,8.218140602111816
256,29,8,0.0542524570482783,0.07923510298132896,100.96535120153914,84,39.25,78,8.208836555480957
256,30,8,0.0016520980279892683,0.07904519198928028,101.20792673999603,92,56.875,94,7.982809066772461
256,31,8,0.08326246199430898,0.08438827702775598,94.79989735267064,106,62.75,114,8.490455627441406
256,32,8,0.00015512597747147083,0.07703294599195942,103.85166887989753,145,46.0,139,8.7586030960083
256,33,8,0.06901676498819143,0.0851212150300853,93.98362085377276,125,58.875,136,8.454951286315918
256,34,8,0.0001806090003810823,0.07313682901440188,109.38401497314936,99,48.5,104,7.722609519958496
256,35,8,0.07647951797116548,0.08378944097785279,95.47742420330216,101,61.125,108,7.916686058044434
256,36,8,0.00019432301633059978,0.10791990801226348,74.12904761826631,117,51.75,126,8.137504577636719
256,37,8,0.07916780101368204,0.10067024698946625,79.46737232935456,166,62.375,169,9.149352073669434
256,38,8,0.0001954269828274846,0.08732863498153165,91.60798175411591,56,27.0,48,8.66124439239502
256,39,8,0.02543027902720496,0.0895279020187445,89.35761723004562,95,41.625,97,8.12503433227539
256,40,8,0.00021555402781814337,0.08376728399889544,95.50267858876133,130,62.25,137,8.087791442871094
256,41,8,0.09151906700571999,0.11451720498735085,69.85849856258412,104,66.375,117,8.05907917022705
256,42,8,0.00021142896730452776,0.2828235329943709,28.286189325551018,192,77.625,205,8.904850959777832
256,43,8,0.006117987970355898,0.07997709000483155,100.02864569737041,123,47.375,122,8.304986000061035
256,44,8,0.0003285770071670413,0.10188930004369467,78.51658610442159,126,39.25,128,8.495682716369629
256,45,8,0.0002183540491387248,0.09544933901634067,83.81409533522722,151,46.5,154,8.811517715454102
256,46,8,0.0002415620256215334,0.09054769796784967,88.35122459811757,118,43.25,109,8.390524864196777
256,47,8,0.0001941990340128541,0.08875808701850474,90.13263206463789,106,52.0,102,8.19791030883789
256,48,8,0.000171653984580189,0.08268570696236566,96.75190905292972,78,25.5,82,8.614997863769531
256,49,8,0.057354221993591636,0.09486732498044148,84.32829745804824,172,71.25,189,9.391520500183105
256,50,8,0.0001466639805585146,0.07649269799003378,104.58514616705399,80,58.25,84,7.8553056716918945
256,51,8,0.08639488503104076,0.0794808870414272,100.65312929673549,97,54.625,95,7.994922161102295
256,52,8,0.00015910196816548705,0.0813099880469963,98.38889652002023,138,52.375,155,8.199238777160645
256,53,8,0.07959590601967648,0.1008640379877761,79.31469094038783,97,56.5,97,7.896775245666504
256,54,8,0.00018013600492849946,0.09441268199589103,84.73437922617398,156,40.0,177,8.37098503112793
256,55,8,0.027959916973486543,0.10097458399832249,79.22785797397201,178,63.375,180,8.915082931518555
256,56,8,0.00020024599507451057,0.06901841697981581,115.91109083738579,109,33.375,114,7.975740432739258
256,57,8,0.05390919395722449,0.07276835397351533,109.93789969348033,100,43.875,114,8.015995025634766
256,58,8,7.568701403215528e-05,0.07140405802056193,112.03845021940171,91,50.25,93,7.926581382751465
256,59,8,0.07402593200094998,0.07514152699150145,106.46576294496657,122,54.875,122,8.247163772583008
256,60,8,1.1401700879796408,0.0837785429903306,95.4898439917167,83,45.375,80,8.142284393310547
192,1,8,0.0001362460316158831,0.0981412940309383,81.5151265223593,116,59.625,125,11.787989616394043
192,2,8,0.013342646008823067,0.09202740696491674,86.93062495012828,127,62.25,138,9.871418952941895
192,3,8,0.00022941199131309986,0.07771685702027753,102.93777060377874,75,35.75,71,10.965482711791992
192,4,8,0.035588584025390446,0.0741668869741261,107.86484813351926,100,47.375,100,10.991043090820312
192,5,8,0.00015696900663897395,0.07624269800726324,104.92808110276845,112,63.5,124,10.421300888061523
192,6,8,0.07395749900024384,0.07328732404857874,109.15939562341195,75,47.375,74,9.767240524291992
192,7,8,0.00014548696344718337,0.0717707960284315,111.46595053551943,81,39.25,81,9.661285400390625
192,8,8,0.07527068600757048,0.08179204404586926,97.80902401110764,141,62.875,133,9.744359970092773
192,9,8,0.0001591579639352858,0.07096806401386857,112.7267611307058,147,31.625,170,9.302557945251465
192,10,8,0.06964339502155781,0.3082365450100042,25.954093145380767,153,69.25,173,10.736668586730957
192,11,8,0.00014984101289883256,0.09601498598931357,83.32032669244359,114,70.625,112,9.955743789672852
192,12,8,0.00015313702169805765,0.0837014620192349,95.57778092527907,113,48.875,117,9.033474922180176
192,13,8,0.0001863630022853613,0.10033742501400411,79.73096777083366,119,52.625,114,9.251334190368652
192,14,8,0.00019753404194489121,0.09664769296068698,82.77486771726801,137,51.375,144,9.163461685180664
192,15,8,0.00016493600560352206,0.07973694102838635,100.32990853200651,110,45.5,101,9.427260398864746
192,16,8,0.00015661498764529824,0.08353179501136765,95.77191533967752,149,62.375,175,9.314176559448242
192,17,8,0.00016359100118279457,0.08229482802562416,97.21145534819075,119,62.25,127,8.727272987365723
192,18,8,0.00016142299864441156,0.07857873500324786,101.80871452905598,135,56.25,139,9.521299362182617
192,19,8,0.00021279294742271304,0.08993947901763022,88.94870292090323,121,67.625,130,8.780895233154297
192,20,8,0.0001609239843674004,0.07997924397932366,100.02595175903602,115,66.25,114,8.75162124633789
192,21,8,0.000191910017747432,0.09417906100861728,84.94457169484848,96,47.0,94,8.658124923706055
192,22,8,0.00018343800911679864,0.1011311580077745,79.10519524937108,128,49.5,121,9.524962425231934
192,23,8,0.00020902999676764011,0.09382719703717157,85.2631246868713,101,52.25,108,8.82597827911377
192,24,8,0.00017949799075722694,0.0854811500175856,93.58788456114829,134,64.0,158,8.724881172180176
192,25,8,0.0001582010299898684,0.07743447198299691,103.3131600840081,132,52.875,133,9.09487247467041
192,26,8,0.026197083003353328,0.07622438296675682,104.95329300978378,86,45.875,90,8.396930694580078
192,27,8,0.00018246297258883715,0.08426341495942324,94.9403724481422,83,31.0,80,8.854606628417969
192,28,8,0.04823842202313244,0.08645514596719295,92.5335318158592,111,70.125,124,8.694658279418945
192,29,8,0.00016032397979870439,0.07081705599557608,112.96713605970513,84,39.25,78,8.471181869506836
192,30,8,0.04578003700589761,0.08044861198868603,99.4423620524999,92,56.875,94,8.244691848754883
192,31,8,0.0001673310180194676,0.24775015300838277,32.2905955974498,106,62.75,114,8.768733024597168
192,32,8,0.0001683420268818736,0.07955412700539455,100.56046494555237,145,46.0,139,9.128997802734375
192,33,8,0.00021945597836747766,0.10642520600231364,75.17016222478426,125,58.875,136,8.67328929901123
192,34,8,0.00020749703980982304,0.09550812002271414,83.76251148171912,99,48.5,104,8.015459060668945
192,35,8,0.0002237259759567678,0.10198271495755762,78.44466587626519,101,61.125,108,8.035011291503906
