queries,step,batch_size,data_wait_seconds,train_step_seconds,samples_per_second,maximum_target_nodes,mean_target_nodes,maximum_target_edges,loss_total
192,36,8,0.00020402896916493773,0.10051157098496333,79.59282619507371,117,51.75,126,8.551192283630371
192,37,8,0.00021470600040629506,0.10787558899028227,74.15950239419469,166,62.375,169,9.595988273620605
192,38,8,0.00020307902013882995,0.06981859897496179,114.5826487132597,56,27.0,48,9.352799415588379
192,39,8,0.00016843498451635242,0.07344447303330526,108.9258274938156,95,41.625,97,8.502495765686035
192,40,8,0.00018912897212430835,0.08366787002887577,95.61615465099099,130,62.25,137,8.348196029663086
192,41,8,0.00017928500892594457,0.08303078298922628,96.34980801081986,104,66.375,117,8.2618989944458
192,42,8,0.00020935299107804894,0.08847018599044532,90.42594305005747,192,77.625,205,9.397590637207031
192,43,8,0.00015560700558125973,0.07851743401261047,101.88819974319516,123,47.375,122,8.46093463897705
192,44,8,0.00016064097872003913,0.07150181796168908,111.88526708910292,126,39.25,128,8.912050247192383
192,45,8,0.014436392986681312,0.07517619797727093,106.41666132701673,151,46.5,154,9.203184127807617
192,46,8,0.00017552200006321073,0.0713372110039927,112.14343660775081,118,43.25,109,8.971278190612793
192,47,8,0.050165915046818554,0.08101643202826381,98.74540015794672,106,52.0,102,8.521427154541016
192,48,8,0.00017884495900943875,0.06638104800367728,120.51632567712441,78,25.5,82,8.98237419128418
192,49,8,0.031604777032043785,0.09408587799407542,85.0287011245594,172,71.25,189,9.9093656539917
192,50,8,0.0001729769865050912,0.07241994299693033,110.46680885041702,80,58.25,84,8.032418251037598
192,51,8,0.043398336973041296,0.24024025100516155,33.29999850786087,97,54.625,95,8.244608879089355
192,52,8,0.00016547099221497774,0.07472296000923961,107.06213992340221,138,52.375,155,8.472078323364258
192,53,8,0.00014967500464990735,0.07726720796199515,103.53680702342578,97,56.5,97,8.123420715332031
192,54,8,0.0001748009817674756,0.07468150102067739,107.12157482995696,156,40.0,177,8.653923988342285
192,55,8,0.0001830350374802947,0.08120253501692787,98.51909177875152,178,63.375,180,9.184714317321777
192,56,8,0.00023970101028680801,0.07826559996465221,102.21604387640434,109,33.375,114,8.296754837036133
192,57,8,0.00010501802898943424,0.07613372197374701,105.07827271020085,100,43.875,114,8.328542709350586
192,58,8,9.495700942352414e-05,0.07816606998676434,102.34619703094475,91,50.25,93,8.177319526672363
192,59,8,9.021000005304813e-05,0.07415169099112973,107.8869529887995,122,54.875,122,8.59909439086914
192,60,8,1.2693961299955845,0.08430331596173346,94.89543689635316,83,45.375,80,8.655900001525879
